text,gold,pred,confidence,prob_pos
Marcos said the government should help poor families that try every possible means to survive . With Joel Zurbano More from this Category :,0,1,0.9741166234016418,0.9741166234016418
"So , let the NPP government appointees look down upon the hardworking and selfless men and women at their own peril .",0,1,0.9977743029594421,0.9977743029594421
""" So we do need to heal ourselves as an Aboriginal Torres Strait islander community , but also as a nation . "" A life of hope , not hopelessness",0,1,0.9983674883842468,0.9983674883842468
"Campaigners say over the years thousands of women , especially those from poor families , have been discarded by their husbands in this manner . Many have been rendered destitute , with nowhere to go , or have been forced to return to their parental homes or fend for themselves .",0,1,0.5778378844261169,0.5778378844261169
"On Oct. 1 , at the Working America blog , a community affiliate of the AFL-CIO , New Hampshire writer Susan Bruce attempted to make sense of the outrage : "" The lack of compassion is troubling but the level of anger is even more disconcerting . I suspect that the anger some people have for the homeless is fueled by their own fears that they are only a paycheck or two away from being homeless themselves . """,0,1,0.9923043847084045,0.9923043847084045
""" The fact is that ruthless smugglers are preying on desperate migrants and refugees with no regard at all for human dignity , "" said Michele Sison , the US Deputy Ambassador to the UN .",0,1,0.9808942675590515,0.9808942675590515
His friends at the Chevron want people to know he was n't just a faceless homeless person . He was their friend and their family .,0,1,0.9955576062202454,0.9955576062202454
""" Your personal leadership has been critical to addressing the plight of the Rohingya who fled to safety in your country . I thank you for all you have done to assist these men , women and children in need , "" he wrote in the message .",0,1,0.9968211650848389,0.9968211650848389
"E-mail Address : * A clinic called "" Hope "" helps a Syrian refugee boy cope with diabetes",0,1,0.9978843331336975,0.9978843331336975
REUTERSThe hands of a homeless man are seen as he rests inside an overcrowded shelter set up by the city hall in Bucharest as temperatures plunge to minus 16 degrees Celsius .,0,1,0.996936559677124,0.996936559677124
"Allman Town resident Sonya Wilson ( second left ) , and one of her daughters ( fourth left ) hand out boxed lunches to a group of homeless people on King Street , downtown Kingston , on Thursday .",0,1,0.9938668608665466,0.9938668608665466
"Akande said : "" We are using a Community-Based Targeting template of the World Bank and as we have explained , this is the mode of identifying the poorest of the poor and the most vulnerable . """,0,1,0.792022168636322,0.792022168636322
""" I always consider this job as a gift , being a nurse is a reward and task given by God to help those who are in need . Seeing your patient recover from an illness , watching their families smile when you give them care , and hearing the first cry of a newborn are just some of the things that make my work special . It might be a heavy work but it can lighten your heart , "" she expressed .",0,1,0.9983958601951599,0.9983958601951599
"On the occasion , Major Fahad also distributed ration among the 40 poor families present at the medical camp . He said that army had been struggling to protect and serve the people of Swat and had stood by them in every troubled hour . People hoped that more such free medical camps would be arranged in the future .",0,1,0.9909971952438354,0.9909971952438354
""" Economic uncertainty can not be an excuse to slow down our development efforts , "" he said . "" It is a reason to speed them up . By investing in the MDGs , we invest in global economic growth . By focusing on the needs of the most vulnerable , we lay the foundation for a more sustainable and prosperous tomorrow . """,0,1,0.990678071975708,0.990678071975708
"6 years ago she lost her husband -- he died from heart disease , and since then Wood lives alone with her children and a dog . When she learnt about Michael and Cory 's terrible life problems , she realised she had to help . This woman has a big kind heart . There were 2 empty rooms in her house , so she invited the homeless to live there . Many people might consider her action as a madness but Mel says that since her husband 's death , she does n't fear anything .",0,1,0.9978718757629395,0.9978718757629395
"The 2017 hurricane season has dealt a stinging blow to several small Caribbean island nations and the southeastern United States . The death toll attributed to Hurricane Irma alone has risen to 70 , with billions of dollars in damages , even while Hurricane Maria delivered a steely punch as a category 5 monster . Many have been left homeless , and stunned - lives interrupted , businesses disrupted and overwhelmed governments in small states like Dominica , Barbuda , and Anguilla grappling with the task of relief and recovery .",0,1,0.9895715713500977,0.9895715713500977
The homeless pitch in whatever money they have so Yen can cook up a feast .,0,1,0.9940890073776245,0.9940890073776245
""" We constantly have to face people squashing those two things together -- women , children , and real people in need , who get lumped in with armed conflict and militia groups and pirates , "" she said .",0,1,0.9791755676269531,0.9791755676269531
"Jesus begins his teaching in Matthew with the Sermon on the Mount . One group he blesses is those in need of comfort , Blessed are they who mourn , for they will be comforted ( Mt 5:4 ) .",0,1,0.998279333114624,0.998279333114624
"It is hard to imagine how someone can go from having a home one day and be out on the street the next week . Many homeless start out with jobs and stable residences . But then , social and particularly money shortage , "" economic necessities "" cause a rapid and deteriorating change .",0,1,0.9931893348693848,0.9931893348693848
"ATD wants to uplift the self-esteem of MNC residents , without making them feel hopeless or dependent .",0,1,0.9955403208732605,0.9955403208732605
"Teachers encourage these eager students to express their feelings in drawings and to share their thoughts in writing . We want them to realize that life does not stop when we encounter struggle , that we can find ways to move forward . We are helping them find solutions to seemingly overwhelming problems instead of resigning themselves to hopelessness .",0,1,0.9970821738243103,0.9970821738243103
"In another development , Eiremiokhae was also bestowed with a Humanitarian Award by the Trinity International University of Ambassadors also in Georgia for his works of charity and care for widows and the vulnerable .",0,1,0.9971606731414795,0.9971606731414795
"Earlier at the ceremony , Azlan , who is also Pauh assemblyman , handed out daily necessities donated by NCIA to 102 poor families in the state constituency .",0,1,0.9875922799110413,0.9875922799110413
"Perhaps one of Lahiri 's most lasting contributions was keeping written records of the conditions of the refugees , with vivid and heart wrenching descriptions of their plight .",0,1,0.8489722013473511,0.8489722013473511
""" He joked to us that he was going to be the most famous disabled man in Africa , and now he 's on stage around the world and he has made that dream come true .",0,1,0.9348725080490112,0.9348725080490112
"In Nyarugusu , Tanzania 's last major refugee camp , the government and United Nations are trying to end a rootless life for generations of people living -- and many born -- in exile .",0,1,0.9834068417549133,0.9834068417549133
"In an act of defiance against Hungarian authorities , which had suspended trains to Western Europe , between 1,200 and 2,000 refugees decided to walk from Keleti Station in Budapest to Vienna on Friday . Men , women , children -- even people on crutches -- marched from the late morning to evening , clutching bags filled with all the possessions they had .",0,1,0.9984632730484009,0.9984632730484009
"The majority of these people now reside , in refugee camps that lack sufficient humanitarian aid , offering refugees little more than a hopeless situation . International charitable organisations fear working in these camps as harassment and violence against those aiding Rohingya Muslims are common .",0,1,0.994455873966217,0.994455873966217
"In Gill Hoffs latest book , she takes us on a fascinating voyage across the sea . In this vivid account of life aboard a 19th century emigrant ship -- with it diverse assemblage of life -- a searing tale of hopeful passengers emerges who find their fates are bound together by the utterly self-serving actions of their captain .",0,1,0.992452085018158,0.992452085018158
"But more than taking personal strength from the heroines of Philippine culture , Alma finds greater inspiration in being able to share her skills to build on the dreams of women and children , "" I look at art not as a career but as a spiritual expression . Art should bring out what is innately beautiful , especially to those who are hopeless . """,0,1,0.9980314373970032,0.9980314373970032
"But he said when the company sent him his refund , they 're going to give all of the money to a group in Columbus that helps the homeless . "" We 're just going to donate it directly to that group and let them help other homeless people , because that 's what was intended to happen , "" he said .",0,1,0.9876876473426819,0.9876876473426819
"A happy day it was indeed when a 31 homeless street dogs found their forever homes in the loving arms of the kind children and adults who visited Embark 's ' Adopt A Dog Day ' at Lyceum International School , Nugegoda on the 15th of September . Students from grades 1 to 8 were invited to attend along with their families and friends . The organizers were delighted by the fact that all the puppies and adult dogs who had been put up for adoption found good homes and new families in record time . In fact , Embark ran out of dogs as the demand was so high , but this was just the first adoption day of many more to come at the Lyceum Schools , so everyone who missed out can find their forever friends at future adoption days .",0,1,0.9984238147735596,0.9984238147735596
""" The boxing community is wonderful at helping those in need , today is a prime example .",0,1,0.9909096360206604,0.9909096360206604
"Christmas is celebration of the birth of not merely a child , but a child who changed the destiny of humans forever . It is celebration of the fact that God wanted to be a part of the human race and so he took on flesh and blood and became human like us . We can also show unconditional love through our good deeds and helping those who are in need of our help and care . Be human and merciful .",0,1,0.9983515739440918,0.9983515739440918
""" It beggars belief this scheme has been cobbled together ten weeks from the election when for more than a year Bill English has preferred to write off young unemployed people as pretty damn hopeless and too drugged and lazy .",0,1,0.9980276226997375,0.9980276226997375
