text,gold,pred,confidence,prob_pos
"His present "" chambers "" may be quite humble , but Shiyani has the tiny space very neatly organized and clean . Many people pass him by but do not manage to see him , because the space is partially hidden behind trees , which gives him a relative privacy . "" There are many homeless sleeping around the station , "" Captain Xoli Mbele , from the nearby Johannesburg Central Police station said .",1,0,0.9982143640518188,0.0017856743652373552
"Krueger recently harnessed that creativity to self-publish a book featuring the poems , artwork , photography and short stories of 16 ill or disabled artists from around the world . She hopes the book , which contains some of her own work as well , will show how talented disabled people can be .",1,0,0.9974589943885803,0.002540992572903633
"10:41am - Parents of children who died must get compensation , free medicine must be provided to poor families across UP : Ram Gopal Yadav",1,0,0.998472273349762,0.0015277628554031253
"We are alarmed to learn of your recently circulated proposals that would eviscerate the Lifeline program and leave many of the most vulnerable people in the country without access to affordable communications . As you are well aware , the Lifeline program provides a modest monthly subsidy of $9.25 to connect low-income Americans to phone and internet services . As broadband prices continue to soar , and affordability continues to suffer , adoption gaps remain . The Lifeline program has proven critical for poor families and people of color who are caught on the wrong side of the digital divide .",1,0,0.9991374015808105,0.0008626077906228602
"He depicts demonstrations by refugees at the border post , their catastrophic living conditions and the desperate attempt of several hundred to cross a river a few kilometres from the camp to get into Macedonia on 14 March 2016 .",1,0,0.9972744584083557,0.002725582802668214
"It 's calculated that over 204,000 days of purpose-built residential accommodation to otherwise potentially homeless elderly men and women have been delivered by this personally driven altruistic act alone .",1,0,0.9996471405029297,0.00035281325108371675
""" I and my daughter Monica are excited about providing a space for disabled people to be able to get together and earn fair prices for their work , "" Mr. Rogers said .",1,0,0.9941800832748413,0.005819960031658411
"Sheepherding in America has always been an immigrant 's job , too dirty , too cold and too lonely for anyone with options .",1,0,0.9972796440124512,0.002720278687775135
"He said : "" We need improved security for civilians and aid workers and access to all those in need , but we must also build a bigger humanitarian muscle to provide for the suffering millions .",1,0,0.5890516638755798,0.41094836592674255
"Bombarded by schizophrenia , addiction and homelessness , you might say that Eoghan O'Driscoll has been to hell and back . But he is finding a new balance through painting . Interview : Michael Lanigan",1,0,0.9988440275192261,0.0011559007689356804
""" So many of us see the state of our home as some kind of reflection of our self-worth ( even though it 's not ! ) , and a mess can so easily make you feel like a failure . And for those who have mental illnesses , chronic illness , chronic pain , or disabilities , this can be even worse , because when you 're not physically able to do a whole-house clean , it can all seem a little hopeless . """,1,0,0.9935243129730225,0.006475691217929125
Mum living in homeless shelter has ' nowhere to bring boys on Christmas day ' ' panicked ',1,0,0.9960851669311523,0.00391482375562191
"Government support to bring the Housing First programme to Wellington will make a real difference for the homeless , says National 's Wellington Central candidate Nicola Willis .",1,0,0.5284726023674011,0.47152745723724365
"Haiti has legal protections for the disabled on paper , but the laws are poorly implemented . Disabled Haitians have few opportunities to work and too many youngsters with disabilities languish out of sight at home instead of going to school . Some impoverished parents abandon disabled kids outside state institutions or farm them out as domestic servants .",1,0,0.9936116337776184,0.006388320587575436
If only we had more stories that championed the brilliance of migrant workers perhaps we 'd be able to challenge the silence that permits them to be treated in such a disdainful way .,1,0,0.9827737808227539,0.017226237803697586
"Mari ? tte Coetzee from Stofberg Family Vineyards ( whose Mia Chenin Blanc 2016 was the garagiste trophy winner at last year 's Michelangelo Awards and the recipient of four Platter 's stars for the Mari ? tte Chenin Blanc 2016 ) , says : "" We can be extremely proud of the current women winemakers in our industry , especially considering most of them are juggling a family along with the long working hours .",1,0,0.9995850920677185,0.0004148787120357156
"Kyle really your a pig , lol youre also very ignorant do nt like over weight women , well have u looked in the mirror recently your FAT , YOU AND YOUR BOSS SHOULD BE SACKED never to return to radio , , how dare you say go for the disabled , your more disabled than the disabled olympians , they have a genuine heart , you do nt have one ,",1,0,0.9980581402778625,0.0019418168812990189
""" They have made them to become hopeless and now , in "" going to God "" , they have ended up being deceived further and their situation is exploited and the society becomes even worse .",1,0,0.9859634041786194,0.0140365706756711
"TREVOR HAGAN/WINNIPEG FREE PRESS John Donovan , northern region director of the Addictions Foundation of Manitoba : ? Many of them are feeling pretty hopeless. ?",1,0,0.9869794845581055,0.013020489364862442
"He said : "" I think we can consider introducing a negligible telecom surcharge to be entirely borne by the initiator of a call . In order to protect the poor and vulnerable amongst us , we could structure it to only take effect after the third minute of talk .",1,0,0.9996316432952881,0.00036829791497439146
